,feature,PC1,PC2,PC3,label
0,['3.4' '11.9' '2.56' '0.0' '0.85' '0.42' '0.0' '4.86' '1.48'],-0.5853646779549334,0.0010766732674604216,-0.26385290076171736,3
13,['7.96' '11.27' '1.54' '-2.23' '0.67' '0.62' '0.38' '3.1' '2.5'],-0.3143792826423508,-0.2041998345616665,-0.04669591009738635,3
18,['6.82' '14.88' '2.21' '-1.87' '0.65' '0.36' '0.32' '6.73' '2.34'],-0.3397538792154703,-0.014701849672852487,0.045384508744308966,3
21,['1.23' '10.75' '1.21' '-0.92' '0.98' '0.16' '0.19' '2.23' '0.94'],-0.7525517515569559,0.05392856520348259,-0.009403699685116569,3
23,['5.6' '13.67' '1.56' '-1.35' '0.75' '0.4' '0.43' '5.62' '2.15'],-0.4033420655836835,-0.07554608709557177,0.09035292328344573,3
25,['2.79' '12.22' '2.01' '-1.72' '0.86' '0.15' '0.17' '4.63' '1.41'],-0.634310456027197,0.10654270919770324,0.00652762274439639,3
28,['1.13' '10.4' '3.1' '-1.22' '0.98' '0.08' '0.18' '2.63' '1.41'],-0.7741541855625415,0.10962231600701278,0.058405949484730775,3
34,['4.79' '16.5' '2.38' '-2.6' '0.75' '0.21' '0.15' '7.25' '1.96'],-0.4891776655296917,0.1575048151163827,-0.020534206860800968,3
38,['2.2' '14.58' '3.94' '-1.98' '0.89' '0.1' '0.16' '4.83' '1.87'],-0.6637622823050804,0.1696837099260659,0.05399072034065387,3
43,['3.95' '10.54' '1.36' '-1.96' '0.79' '0.25' '0.16' '4.59' '1.67'],-0.5573452667457598,0.04587517819002363,-0.04663183650703751,3
44,['1.12' '10.5' '3.5' '-1.33' '0.98' '0.06' '0.14' '2.57' '1.05'],-0.7896537158019934,0.1285869496750203,0.029854928110445964,3
47,['2.92' '12.17' '3.2' '-2.3' '0.87' '0.18' '0.23' '4.76' '2.46'],-0.6179622781864145,0.11050037089362004,0.08006988325772504,3
48,['3.63' '12.29' '0.8' '-1.14' '0.83' '0.41' '0.22' '4.41' '0.98'],-0.5323034212072918,-0.04618693737221758,-0.12247600221887807,3
49,['3.89' '11.5' '11.5' '-1.8' '0.9' '0.11' '0.56' '4.49' '4.43'],-0.5946325636343675,0.0671285054471807,0.5009375492158649,3
50,['5.5' '13.84' '1.04' '-1.15' '0.65' '0.28' '0.23' '6.48' '1.01'],-0.39496661104938224,-0.004248225222647813,-0.03170218848896147,3
53,['5.13' '14.12' '1.2' '-1.24' '0.78' '0.42' '0.32' '5.5' '1.49'],-0.44652197130487703,-0.05312552475207688,-0.03186882251888762,3
55,['7.73' '15.85' '1.52' '-1.48' '0.58' '0.47' '0.3' '7.74' '1.94'],-0.24622708427933274,-0.06623520915365931,-0.047781245936049536,3
60,['6.96' '11.8' '0.71' '-0.91' '0.81' '0.54' '0.35' '2.78' '0.99'],-0.4570344258997433,-0.1729555319128708,-0.09395417605957486,3
61,['5.52' '16.29' '1.29' '-1.1' '0.69' '0.25' '0.24' '7.64' '1.22'],-0.4104468407647725,0.05459284467137563,-0.005113136308443015,3
62,['3.99' '13.92' '1.88' '-1.3' '0.87' '0.2' '0.24' '5.08' '1.31'],-0.5985619593161419,0.07815516939440285,0.02367410413970408,3
66,['4.05' '21.07' '1.43' '-2.34' '0.82' '0.16' '0.08' '8.23' '1.21'],-0.5475208757443989,0.24749290404145904,-0.08938166573417322,3
84,['1.79' '12.44' '1.32' '-1.08' '0.91' '0.18' '0.2' '3.58' '1.13'],-0.6709664861861128,0.061491131602537774,-0.004075991008044897,3
89,['6.7' '16.67' '1.41' '-1.04' '0.73' '0.29' '0.35' '6.95' '1.51'],-0.4059375248074101,0.014393864953410159,0.0639791858367929,3
92,['2.69' '13.95' '1.43' '-1.47' '0.92' '0.17' '0.12' '4.71' '1.15'],-0.6773024455553469,0.1336061203474263,-0.06189076766745616,3
93,['6.68' '20.46' '1.44' '-1.59' '0.68' '0.17' '0.14' '9.74' '1.46'],-0.40232262367074345,0.19247915963048148,-0.033386859181815075,3
94,['4.2' '10.7' '1.05' '-2.16' '0.85' '0.44' '0.2' '4.72' '1.98'],-0.5415172336955684,-0.010912256358423616,-0.1188815512158548,3
104,['3.29' '10.85' '0.79' '-0.97' '0.96' '0.38' '0.26' '2.98' '0.89'],-0.6503079070679124,-0.04254433383445235,-0.08505181430492133,3
108,['8.11' '10.83' '1.6' '-1.77' '0.67' '0.5' '0.38' '2.66' '2.13'],-0.3512848861713359,-0.1813856873432739,0.00873241849546859,3
110,['6.47' '11.05' '2.15' '-1.45' '0.78' '0.5' '0.5' '3.36' '2.26'],-0.4122017040352593,-0.17528019529314154,0.09922658559946328,3
116,['0.76' '11.7' '1.09' '-0.79' '0.98' '0.12' '0.05' '2.18' '0.62'],-0.7902352960357081,0.10649261737196612,-0.1051987133689884,3
117,['2.58' '10.7' '1.47' '-1.4' '0.96' '0.22' '0.2' '3.7' '1.12'],-0.7015716564487896,0.06461706683159489,-0.02891391208455765,3
124,['7.36' '19.19' '2.25' '-2.01' '0.65' '0.31' '0.24' '9.04' '2.92'],-0.3260806792031244,0.105557185548992,0.025855667459930842,3
126,['7.51' '15.93' '2.84' '-2.32' '0.57' '0.26' '0.3' '7.99' '2.35'],-0.2919478369328363,0.04854795627437007,0.09376386511116007,3
134,['1.07' '11.13' '3.48' '-1.88' '0.95' '0.06' '0.1' '2.84' '1.24'],-0.7698388715251521,0.15483285097416452,0.0073582082696861065,3
145,['3.02' '10.1' '5.05' '0.0' '0.8' '0.5' '0.0' '4.51' '2.92'],-0.5351809087678713,-0.047962966812307384,-0.2320010792548267,3
146,['6.91' '14.38' '1.05' '-0.78' '0.68' '0.47' '0.5' '5.53' '1.44'],-0.3122023201110074,-0.16431899405879982,0.07986141960805862,3
160,['2.38' '11.43' '0.87' '-1.5' '0.96' '0.21' '0.09' '3.89' '0.89'],-0.7225233723762724,0.10653277903051138,-0.11993097433058685,3
165,['0.42' '11.4' '5.85' '-5.2' '0.98' '0.02' '0.02' '2.05' '1.35'],-0.8334081650858065,0.2826627414813593,-0.010472934030305771,3
167,['0.6' '15.0' '2.8' '-2.04' '0.96' '0.03' '0.03' '2.9' '1.09'],-0.7846004806337474,0.21415307896284427,-0.04289454142555422,3
172,['7.29' '20.75' '1.64' '-1.68' '0.67' '0.22' '0.18' '10.04' '1.41'],-0.3680334640524943,0.16830787265625768,-0.03156422227205685,3
173,['6.2' '10.79' '2.58' '-1.33' '0.52' '0.23' '0.41' '5.21' '2.5'],-0.28861729258122304,-0.09543575356971913,0.21048937768796175,3
174,['6.33' '18.4' '1.15' '-1.07' '0.68' '0.19' '0.19' '8.76' '1.01'],-0.4069652358717231,0.12110001696685142,-0.02118500468703726,3
177,['8.14' '22.43' '1.38' '-2.01' '0.64' '0.23' '0.14' '11.25' '1.68'],-0.3282100917935487,0.2102499994104561,-0.061575441722146775,3
178,['5.93' '21.21' '2.02' '-1.84' '0.73' '0.15' '0.14' '9.73' '1.43'],-0.447155688804896,0.2267944392271138,-0.022851908556259144,3
179,['3.95' '14.48' '2.05' '-1.76' '0.78' '0.16' '0.16' '6.07' '1.65'],-0.5451108696876602,0.12402571428133273,0.003458883774148116,3
183,['4.3' '11.18' '1.5' '-1.92' '0.77' '0.32' '0.2' '4.97' '1.92'],-0.5077889473802232,0.012434944860719952,-0.04526841021120785,3
194,['0.84' '10.98' '2.95' '-1.3' '0.93' '0.07' '0.02' '2.86' '0.97'],-0.769315470066771,0.14683421807099273,-0.07016305969570454,3
198,['9.54' '13.74' '0.92' '-1.35' '0.62' '0.6' '0.3' '3.72' '1.24'],-0.2785936674305159,-0.19745115907117855,-0.14458961301773068,3
200,['2.78' '12.66' '0.87' '-0.79' '0.97' '0.27' '0.28' '2.79' '0.96'],-0.6783178278095008,0.0014996136426039988,-0.0071046110967598955,3
201,['7.97' '10.25' '1.73' '-0.85' '0.75' '0.43' '0.57' '1.79' '1.49'],-0.4052187603760681,-0.2301802690806645,0.16575066952015194,3
202,['9.28' '10.9' '2.4' '-0.7' '0.75' '0.33' '0.33' '1.13' '1.63'],-0.4741327287004392,-0.1283315914096973,0.050654258829621865,3
