,index,时间,GPS车速
0,0,31943,0.0
1,1,31944,0.0
2,2,31945,0.0
3,3,31946,0.0
4,4,31947,0.0
5,5,31948,0.0
6,6,31949,0.0
7,7,31950,0.0
8,8,31951,0.0
9,9,31952,0.0
10,10,31953,0.0
11,11,31954,0.0
12,12,31955,0.0
13,13,31956,0.0
14,14,31957,0.0
15,15,31958,0.0
16,16,31959,0.0
17,17,31960,0.0
18,18,31961,0.0
19,19,31962,0.0
20,20,31963,0.0
21,21,31964,0.0
22,22,31965,0.0
23,23,31966,0.0
24,24,31967,0.0
25,25,31968,0.0
26,26,31969,0.0
27,27,31970,0.0
28,28,31971,0.0
29,29,31972,0.0
30,30,31973,0.0
31,31,31974,0.0
32,32,31975,0.0
33,33,31976,0.0
34,34,31977,0.0
35,35,31978,0.0
36,36,31979,0.0
37,37,31980,0.0
38,38,31981,0.0
39,39,31982,0.0
40,40,31983,0.0
41,41,31984,0.0
42,42,31985,0.0
43,43,31986,0.0
44,44,31987,0.0
45,45,31988,0.0
46,46,31989,0.0
47,47,31990,0.0
48,48,31991,2.2
49,49,31992,2.4
50,50,31993,3.2
51,51,31994,3.7
52,52,31995,4.1
53,53,31996,4.3
54,54,31997,4.9
55,55,31998,9.8
56,56,31999,11.9
57,57,32000,12.4
58,58,32001,10.8
59,59,32002,8.4
60,60,32003,7.6
61,61,32004,8.6
62,62,32005,6.7
63,63,32006,5.7
64,64,32007,7.0
65,65,32008,8.0
66,66,32009,9.5
67,67,32010,9.6
68,68,32011,6.8
69,69,32012,3.0
70,70,32013,2.1
71,71,32014,2.6
72,72,32015,2.4
73,73,32016,1.4
74,74,32017,0.0
75,0,32017,0.0
76,1,32018,0.0
77,2,32019,0.0
78,3,32020,0.0
79,4,32021,0.0
80,5,32022,0.0
81,6,32023,0.0
82,7,32024,0.0
83,8,32025,0.0
84,9,32026,0.0
85,10,32027,0.0
86,11,32028,0.0
87,12,32029,0.0
88,13,32030,0.0
89,14,32031,0.0
90,15,32032,0.0
91,16,32033,0.0
92,17,32034,0.0
93,18,32035,0.0
94,19,32036,0.0
95,20,32037,0.0
96,21,32038,0.0
97,22,32039,0.0
98,23,32040,0.0
99,24,32041,0.0
100,25,32042,0.0
101,26,32043,0.0
102,27,32044,0.0
103,28,32045,0.0
104,29,32046,0.0
105,30,32047,0.0
106,31,32048,2.5
107,32,32049,4.6
108,33,32050,6.8
109,34,32051,9.7
110,35,32052,10.8
111,36,32053,10.6
112,37,32054,9.7
113,38,32055,8.1
114,39,32056,9.1
115,40,32057,8.7
116,41,32058,6.7
117,42,32059,4.0
118,43,32060,2.7
119,44,32061,1.8
120,45,32062,0.0
121,0,174813,0.0
122,1,174814,0.0
123,2,174815,0.0
124,3,174816,0.0
125,4,174817,0.0
126,5,174818,0.0
127,6,174819,0.0
128,7,174820,0.0
129,8,174821,0.0
130,9,174822,0.0
131,10,174823,0.0
132,11,174824,0.0
133,12,174825,0.0
134,13,174826,0.0
135,14,174827,0.0
136,15,174828,0.0
137,16,174829,0.0
138,17,174830,0.0
139,18,174831,0.0
140,19,174832,3.6
141,20,174833,6.5
142,21,174834,10.0
143,22,174835,9.2
144,23,174836,8.9
145,24,174837,5.9
146,25,174838,2.4
147,26,174839,0.0
148,0,1659,0.0
149,1,1660,0.0
150,2,1661,0.0
151,3,1662,0.0
152,4,1663,0.0
153,5,1664,0.0
154,6,1665,0.0
155,7,1666,0.0
156,8,1667,0.0
157,9,1668,0.0
158,10,1669,0.0
159,11,1670,0.0
160,12,1671,0.0
161,13,1672,0.0
162,14,1673,0.0
163,15,1674,0.0
164,16,1675,0.0
165,17,1676,0.0
166,18,1677,0.0
167,19,1678,0.0
168,20,1679,0.0
169,21,1680,0.0
170,22,1681,0.0
171,23,1682,0.0
172,24,1683,0.0
173,25,1684,0.0
174,26,1685,0.0
175,27,1686,0.0
176,28,1687,0.0
177,29,1688,0.0
178,30,1689,0.0
179,31,1690,0.0
180,32,1691,0.0
181,33,1692,0.0
182,34,1693,0.0
183,35,1694,0.0
184,36,1695,0.0
185,37,1696,0.0
186,38,1697,0.0
187,39,1698,0.0
188,40,1699,0.0
189,41,1700,0.0
190,42,1701,0.0
191,43,1702,0.0
192,44,1703,0.0
193,45,1704,0.0
194,46,1705,0.0
195,47,1706,0.0
196,48,1707,0.0
197,49,1708,15.7
198,50,1709,21.0
199,51,1710,25.2
200,52,1711,29.0
201,53,1712,30.9
202,54,1713,31.4
203,55,1714,31.5
204,56,1715,31.0
205,57,1716,29.4
206,58,1717,26.2
207,59,1718,22.5
208,60,1719,20.1
209,61,1720,19.0
210,62,1721,12.2
211,63,1722,7.1
212,64,1723,6.5
213,65,1724,6.4
214,66,1725,6.4
215,67,1726,7.9
216,68,1727,7.9
217,69,1728,9.0
218,70,1729,10.5
219,71,1730,14.0
220,72,1731,15.3
221,73,1732,17.1
222,74,1733,20.2
223,75,1734,21.6
224,76,1735,24.0
225,77,1736,25.5
226,78,1737,27.3
227,79,1738,29.4
228,80,1739,29.5
229,81,1740,31.8
230,82,1741,33.2
231,83,1742,37.3
232,84,1743,41.7
233,85,1744,43.0
234,86,1745,40.1
235,87,1746,33.0
236,88,1747,27.4
237,89,1748,29.5
238,90,1749,28.8
239,91,1750,28.5
240,92,1751,30.4
241,93,1752,29.6
242,94,1753,26.5
243,95,1754,21.0
244,96,1755,13.4
245,97,1756,0.0
246,0,6740,0.0
247,1,6741,0.0
248,2,6742,0.0
249,3,6743,0.0
250,4,6744,0.0
251,5,6745,0.0
252,6,6746,0.0
253,7,6747,0.0
254,8,6748,0.0
255,9,6749,0.0
256,10,6750,0.0
257,11,6751,0.0
258,12,6752,0.0
259,13,6753,0.0
260,14,6754,0.0
261,15,6755,0.0
262,16,6756,0.0
263,17,6757,0.0
264,18,6758,0.0
265,19,6759,0.0
266,20,6760,0.0
267,21,6761,0.0
268,22,6762,0.0
269,23,6763,0.0
270,24,6764,0.0
271,25,6765,0.0
272,26,6766,0.0
273,27,6767,0.0
274,28,6768,0.0
275,29,6769,0.0
276,30,6770,0.0
277,31,6771,0.0
278,32,6772,0.0
279,33,6773,0.0
280,34,6774,0.0
281,35,6775,0.0
282,36,6776,0.0
283,37,6777,0.0
284,38,7117,35.4
285,39,7118,36.4
286,40,7119,36.0
287,41,7120,35.4
288,42,7121,35.1
289,43,7122,34.6
290,44,7123,34.1
291,45,7124,33.7
292,46,7125,33.2
293,47,7126,32.7
294,48,7127,32.1
295,49,7128,31.5
296,50,7129,30.9
297,51,7130,30.6
298,52,7131,30.2
299,53,7132,29.8
300,54,7133,29.8
301,55,7134,28.9
302,56,7135,29.0
303,57,7136,29.0
304,58,7137,29.6
305,59,7138,28.3
306,60,7139,30.1
307,61,7140,30.2
308,62,7141,30.3
309,63,7142,30.4
310,64,7143,30.1
311,65,7144,29.3
312,66,7145,25.0
313,67,7146,21.8
314,68,7147,17.3
315,69,7148,15.4
316,70,7149,13.4
317,71,7150,9.8
318,72,7151,9.1
319,73,7152,8.2
320,74,7153,8.2
321,75,7154,8.8
322,76,7155,7.1
323,77,7156,6.1
324,78,7157,5.0
325,79,7158,6.2
326,80,7159,7.8
327,81,7160,4.5
328,82,7161,7.5
329,83,7162,12.4
330,84,7163,13.2
331,85,7164,14.3
332,86,7165,12.5
333,87,7166,10.5
334,88,7167,0.0
335,0,360289,0.0
336,1,360290,0.0
337,2,360291,0.0
338,3,360292,0.0
339,4,360293,0.0
340,5,360294,0.0
341,6,360295,0.0
342,7,360296,0.0
343,8,360297,0.0
344,9,360298,0.0
345,10,360299,0.0
346,11,360300,0.0
347,12,360301,0.0
348,13,360302,0.0
349,14,360303,0.0
350,15,360304,0.0
351,16,360305,0.0
352,17,360306,0.0
353,18,360307,0.0
354,19,360308,0.0
355,20,360309,0.0
356,21,360310,0.0
357,22,360311,0.0
358,23,360312,0.0
359,24,360313,0.0
360,25,360314,0.0
361,26,360315,0.0
362,27,360316,0.0
363,28,360317,0.0
364,29,360318,0.0
365,30,360319,0.0
366,31,360320,0.0
367,32,360321,0.0
368,33,360322,0.0
369,34,360323,0.0
370,35,360324,0.0
371,36,360325,0.0
372,37,360326,0.0
373,38,360327,0.0
374,39,360328,0.0
375,40,360329,0.0
376,41,360330,0.0
377,42,360331,0.0
378,43,360332,0.0
379,44,360333,0.0
380,45,360334,0.0
381,46,360335,0.0
382,47,360336,0.0
383,48,360337,0.0
384,49,360338,0.0
385,50,360339,0.0
386,51,360340,0.0
387,52,360341,12.4
388,53,360342,12.5
389,54,360343,18.3
390,55,360344,19.2
391,56,360345,22.4
392,57,360346,22.4
393,58,360347,22.2
394,59,360348,21.4
395,60,360349,19.1
396,61,360350,17.8
397,62,360351,12.0
398,63,360352,10.4
399,64,360353,6.8
400,65,360354,6.7
401,66,360355,5.2
402,67,360356,4.7
403,68,360357,4.0
404,69,360358,4.0
405,70,360359,3.0
406,71,360360,2.9
407,72,360361,2.8
408,73,360362,4.4
409,74,360363,6.0
410,75,360364,5.9
411,76,360365,5.0
412,77,360366,5.4
413,78,360367,8.1
414,79,360368,8.7
415,80,360369,10.0
416,81,360370,11.1
417,82,360371,13.9
418,83,360372,15.5
419,84,360373,23.1
420,85,360374,24.3
421,86,360375,26.0
422,87,360376,26.7
423,88,360377,28.8
424,89,360378,29.5
425,90,360379,31.5
426,91,360380,32.4
427,92,360381,33.8
428,93,360382,35.1
429,94,360383,35.1
430,95,360384,35.0
431,96,360385,35.7
432,97,360386,36.8
433,98,360387,38.0
434,99,360388,38.0
435,100,360389,38.0
436,101,360390,38.4
437,102,360391,39.6
438,103,360392,39.7
439,104,360393,41.8
440,105,360394,40.0
441,106,360395,37.3
442,107,360396,35.8
443,108,360397,33.0
444,109,360398,29.5
445,110,360399,25.9
446,111,360400,21.6
447,112,360401,18.5
448,113,360402,15.8
449,114,360403,12.1
450,115,360404,0.0
451,0,196790,0.0
452,1,196791,0.0
453,2,196792,0.0
454,3,196793,0.0
455,4,196794,0.0
456,5,196795,0.0
457,6,196796,0.0
458,7,196797,0.0
459,8,196798,0.0
460,9,196799,0.0
461,10,196800,0.0
462,11,196801,0.0
463,12,196802,0.0
464,13,196803,0.0
465,14,196804,0.0
466,15,196805,0.0
467,16,196806,0.0
468,17,196807,0.0
469,18,196808,0.0
470,19,196809,0.0
471,20,196810,0.0
472,21,196811,0.0
473,22,196812,0.0
474,23,196813,0.0
475,24,196814,0.0
476,25,196815,0.0
477,26,196816,0.0
478,27,196817,0.0
479,28,196818,0.0
480,29,196819,0.0
481,30,196820,0.0
482,31,196821,0.0
483,32,196823,0.0
484,33,196824,0.0
485,34,196825,0.0
486,35,196826,10.3
487,36,196827,12.6
488,37,196828,15.3
489,38,196829,16.6
490,39,196830,17.8
491,40,196831,14.3
492,41,196832,12.3
493,42,196833,9.0
494,43,196834,6.1
495,44,196835,6.0
496,45,196836,6.9
497,46,196837,7.0
498,47,196838,8.0
499,48,196839,9.3
500,49,196840,10.1
501,50,196841,11.9
502,51,196842,15.2
503,52,196843,16.2
504,53,196844,16.7
505,54,196845,17.8
506,55,196846,18.8
507,56,196847,17.8
508,57,196848,17.9
509,58,196849,18.2
510,59,196850,21.0
511,60,196851,21.8
512,61,196852,22.5
513,62,196853,22.8
514,63,196854,23.6
515,64,196855,25.9
516,65,196856,26.6
517,66,196857,26.0
518,67,196858,24.0
519,68,196859,23.9
520,69,196860,22.4
521,70,196861,21.9
522,71,196862,21.5
523,72,196863,22.0
524,73,196864,22.0
525,74,196865,21.0
526,75,196866,16.5
527,76,196867,15.8
