,时间,GPS车速
0,94774,8.9
1,94775,8.8
2,94776,7.1
3,94777,6.6
4,94778,5.9
5,94779,5.6
6,94780,5.7
7,94781,4.7
8,94782,4.7
9,94783,3.6
10,94784,3.0
11,94785,2.0
12,94786,2.5
13,94787,3.2
14,94788,2.7
15,94789,4.3
16,94790,7.5
17,94791,11.5
18,94792,16.1
19,94793,18.2
20,94794,19.8
21,94795,24.0
22,94796,26.4
23,94797,28.0
24,94798,30.3
25,94799,32.6
26,94800,34.9
27,94801,37.5
28,94802,40.2
29,94803,43.5
30,94804,45.9
31,94805,47.7
32,94806,48.8
33,94807,50.3
34,94808,52.1
35,94809,53.3
36,94810,53.9
37,94811,54.4
38,94812,54.8
39,94813,57.0
40,94814,59.2
41,94815,61.2
42,94816,62.0
43,94817,62.0
44,94818,62.5
45,94819,63.3
46,94820,64.8
47,94821,65.7
48,94822,66.6
49,94823,67.3
50,94824,66.6
51,94825,66.3
52,94826,67.0
53,94827,67.0
54,94828,67.4
55,94829,67.0
56,94830,67.5
57,94831,68.0
58,94832,68.1
59,94833,69.3
60,94834,69.2
61,94835,68.8
62,94836,69.2
63,94837,69.4
64,94838,69.5
65,94839,69.5
66,94840,69.7
67,94841,70.0
68,94842,70.1
69,94843,69.2
70,94844,69.2
71,94845,69.5
72,94846,69.9
73,94847,69.5
74,94848,69.5
75,94849,69.6
76,94850,67.7
77,94851,67.6
78,94852,67.6
79,94853,67.7
80,94854,68.0
81,94855,67.5
82,94856,66.5
83,94857,65.6
84,94858,64.6
85,94859,64.5
86,94860,64.1
87,94861,63.2
88,94862,62.8
89,94863,62.8
90,94864,63.3
91,94865,62.8
92,94866,64.5
93,94867,64.6
94,94868,64.3
95,94869,64.6
96,94870,64.8
97,94871,66.4
98,94872,66.3
99,94873,66.7
100,94874,67.8
101,94875,68.9
102,94876,70.2
103,94877,71.3
104,94878,71.5
105,94879,71.6
106,94880,72.9
107,94881,74.1
108,94882,75.3
109,94883,75.3
110,94884,75.4
111,94885,76.6
112,94886,76.5
113,94887,76.7
114,94888,76.9
115,94889,79.2
116,94890,79.1
117,94891,78.3
118,94892,78.6
119,94893,79.1
120,94894,79.7
