时间,GPS车速
1,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,10.8
1210,12.8
1211,13.5
1212,15.7
1213,18.2
1214,20.2
1215,21.8
1216,22.7
1217,23.3
1218,23.3
1219,22.6
1220,20.5
1221,19.8
1222,18.0
1223,13.8
1224,18.9
1225,18.0
1226,22.8
1227,25.7
1228,27.2
1229,28.4
1230,28.0
1231,27.3
1232,26.7
1233,27.1
1234,26.1
1235,23.7
1236,23.1
1237,24.0
1238,23.7
1239,24.4
1240,24.3
1241,25.0
1242,25.3
1243,26.7
1244,29.2
1245,31.9
1246,34.3
1247,34.3
1248,33.3
1249,32.9
1250,33.0
1251,32.8
1252,34.0
1253,34.9
1254,37.7
1255,38.8
1256,39.2
1257,39.2
1258,39.2
1259,39.1
1260,39.2
1261,39.9
1262,42.0
1263,44.4
1264,46.9
1265,49.3
1266,51.8
1267,54.1
1268,55.3
1269,55.7
1270,55.2
1271,56.5
1272,53.8
1273,55.1
1274,52.4
1275,51.5
1276,50.7
1277,50.0
1278,49.2
1279,48.3
1280,47.2
1281,45.1
1282,41.5
1283,37.3
1284,32.8
1285,27.9
1286,24.0
1287,20.5
1288,16.3
1289,11.6
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,0.0
1361,0.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,11.5
1374,15.5
1375,18.1
1376,20.0
1377,20.1
1378,19.7
1379,18.9
1380,18.3
1381,18.4
1382,18.5
1383,18.7
1384,18.7
1385,18.8
1386,20.0
1387,23.7
1388,26.4
1389,28.6
1390,30.7
1391,33.1
1392,34.2
1393,34.7
1394,35.3
1395,36.1
1396,37.4
1397,39.2
1398,39.9
1399,42.0
1400,40.2
1401,41.6
1402,41.9
1403,40.6
1404,38.5
1405,35.7
1406,32.1
1407,27.3
1408,25.2
1409,25.1
1410,21.0
1411,18.1
1412,16.5
1413,16.9
1414,16.8
1415,16.4
1416,16.1
1417,14.4
1418,16.4
1419,18.7
1420,21.8
1421,22.8
1422,22.4
1423,22.0
1424,21.9
1425,21.2
1426,20.7
1427,20.1
1428,20.0
1429,19.7
1430,18.8
1431,19.2
1432,21.2
1433,23.8
1434,24.2
1435,23.3
1436,22.7
1437,20.3
1438,18.9
1439,13.7
1440,6.5
1441,3.8
1442,3.7
1443,3.4
1444,4.5
1445,5.8
1446,9.7
1447,13.4
1448,16.3
1449,19.6
1450,22.3
1451,24.6
1452,26.7
1453,27.7
1454,28.1
1455,27.6
1456,27.5
1457,28.5
1458,29.2
1459,28.5
1460,26.0
1461,22.0
1462,19.6
1463,18.4
1464,16.8
1465,15.0
1466,14.1
1467,15.5
1468,16.7
1469,16.0
1470,15.0
1471,13.0
1472,0.0
1473,0.0
1474,0.0
1475,0.0
1476,0.0
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.0
1499,0.0
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,10.2
1614,12.8
1615,15.1
1616,17.6
1617,20.0
1618,22.0
1619,23.8
1620,24.4
1621,24.7
1622,26.1
1623,27.6
1624,28.7
1625,29.8
1626,30.9
1627,32.1
1628,33.4
1629,34.9
1630,37.0
1631,38.5
1632,39.3
1633,39.6
1634,40.0
1635,40.1
1636,40.1
1637,40.0
1638,39.9
1639,39.4
1640,39.2
1641,39.1
1642,38.8
1643,38.7
1644,38.2
1645,37.9
1646,37.9
1647,37.7
1648,37.5
1649,37.4
1650,37.3
1651,36.6
1652,36.1
1653,35.5
1654,34.1
1655,31.5
1656,27.0
1657,20.7
1658,13.2
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,15.7
1709,21.0
1710,25.2
1711,29.0
1712,30.9
1713,31.4
1714,31.5
1715,31.0
1716,29.4
1717,26.2
1718,22.5
1719,20.1
1720,19.0
1721,12.2
1722,7.1
1723,6.5
1724,6.4
1725,6.4
1726,7.9
1727,7.9
1728,9.0
1729,10.5
1730,14.0
1731,15.3
1732,17.1
1733,20.2
1734,21.6
1735,24.0
1736,25.5
1737,27.3
1738,29.4
1739,29.5
1740,31.8
1741,33.2
1742,37.3
1743,41.7
1744,43.0
1745,40.1
1746,33.0
1747,27.4
1748,29.5
1749,28.8
1750,28.5
1751,30.4
1752,29.6
1753,26.5
1754,21.0
1755,13.4
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
