时间,GPS车速
54751,9.9
54752,5.4
54753,0.2
54754,0.0
54755,0.0
54756,0.0
54757,0.0
54758,0.0
54759,0.0
54760,0.0
54761,0.0
54762,0.0
54763,0.0
54764,0.0
54765,0.0
54766,0.0
54767,0.0
55306,46.3
55307,45.9
55308,45.8
55309,45.2
55310,43.7
55311,41.9
55312,40.9
55313,40.5
55314,40.5
55315,41.0
55316,41.5
55317,42.2
55318,43.5
55319,45.0
55320,46.2
55321,47.0
55322,48.2
55323,48.8
55324,49.9
55325,50.5
55326,51.0
55327,50.8
55328,50.0
55329,49.0
55330,48.3
55331,48.1
55332,48.0
55333,47.5
55334,45.7
55335,41.4
55336,39.7
55337,40.7
55338,42.6
55339,44.2
55340,45.7
55341,47.1
55342,48.0
55343,47.5
55344,46.7
55345,46.8
55346,47.8
55347,48.4
55348,48.5
55349,47.9
55350,47.0
55351,45.5
55352,42.0
55353,36.8
55354,29.4
55355,22.2
55356,21.4
55357,19.7
55358,18.1
55359,14.9
55360,14.0
55361,14.4
55362,12.2
55363,11.7
55364,12.1
55365,15.6
55366,19.2
55367,21.6
55368,26.1
55369,29.2
55370,31.0
55371,32.1
55372,34.4
55373,37.4
55374,40.1
55375,42.4
55376,44.6
55377,47.8
55378,49.5
55379,50.8
55380,51.9
55381,53.1
55382,54.4
55383,55.3
55384,55.2
55385,55.8
55386,56.0
55387,52.2
55388,51.7
55389,51.6
55390,51.1
55391,50.3
55392,50.3
55393,50.4
55394,50.9
55395,51.8
55396,52.7
55397,52.6
55398,52.0
55399,51.9
55400,53.2
55401,53.8
55402,54.2
55403,55.0
55404,55.8
55405,56.2
55406,56.3
55407,56.6
55408,56.7
55409,56.2
55410,56.2
55411,56.1
55412,55.3
55413,54.7
55414,53.8
55415,50.2
55416,44.9
55417,41.9
55418,39.5
55419,39.5
55420,41.1
55421,43.0
55422,45.0
55423,46.7
55424,48.1
55425,48.9
55426,49.6
55427,50.5
55428,53.8
55429,53.2
55430,53.6
55431,51.1
55432,51.0
55433,49.6
55434,48.9
55435,47.6
55436,45.2
55437,42.2
55438,38.5
55439,33.3
55440,26.2
55441,18.9
55442,13.4
