filePath,平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
processed_data/file1_fragments/fragment1.csv,6.92,14.06,1.39,-1.76,0.13,0.43,0.34,5.27,1.77
processed_data/file1_fragments/fragment2.csv,26.11,36.09,1.15,-1.40,0.26,0.37,0.30,18.50,1.43
processed_data/file1_fragments/fragment3.csv,20.26,28.03,1.40,-2.07,0.21,0.47,0.32,14.25,2.05
processed_data/file1_fragments/fragment4.csv,27.19,43.11,1.12,-1.44,0.34,0.35,0.28,22.82,1.43
processed_data/file1_fragments/fragment5.csv,39.05,51.50,1.19,-1.65,0.20,0.45,0.32,25.75,1.99
processed_data/file1_fragments/fragment6.csv,30.61,38.78,1.36,-2.25,0.19,0.49,0.29,19.65,2.07
processed_data/file1_fragments/fragment7.csv,35.63,42.59,1.48,-2.28,0.14,0.51,0.33,20.74,2.45
processed_data/file1_fragments/fragment8.csv,29.13,39.17,1.61,-2.52,0.24,0.45,0.29,20.74,2.38
processed_data/file1_fragments/fragment9.csv,0.08,nan,1.50,-1.50,0.95,0.06,0.06,0.34,0.51
processed_data/file1_fragments/fragment10.csv,11.86,22.53,1.58,-2.03,0.34,0.35,0.27,11.58,1.85
processed_data/file1_fragments/fragment11.csv,23.49,40.78,5.70,-2.05,0.32,0.17,0.48,22.22,6.86
processed_data/file1_fragments/fragment12.csv,24.76,29.88,1.63,-2.11,0.07,0.53,0.41,13.35,2.41
processed_data/file1_fragments/fragment13.csv,25.82,32.93,1.26,-1.46,0.19,0.42,0.37,15.08,1.59
processed_data/file1_fragments/fragment14.csv,14.40,19.94,1.58,-1.42,0.19,0.37,0.41,9.08,1.73
processed_data/file1_fragments/fragment15.csv,6.92,14.88,2.21,-2.95,0.36,0.38,0.29,6.80,2.63
processed_data/file1_fragments/fragment16.csv,14.10,20.85,1.41,-1.18,0.25,0.34,0.40,10.41,1.41
processed_data/file1_fragments/fragment17.csv,0.99,nan,0.90,-0.90,0.68,0.15,0.15,1.73,0.83
processed_data/file1_fragments/fragment18.csv,0.24,nan,1.60,-0.80,0.85,0.08,0.17,0.58,0.66
processed_data/file1_fragments/fragment19.csv,0.19,nan,1.70,-0.85,0.88,0.04,0.08,0.54,0.48
processed_data/file1_fragments/fragment20.csv,4.70,11.84,1.35,-1.26,0.29,0.35,0.38,4.77,1.57
processed_data/file1_fragments/fragment21.csv,0.08,nan,0.20,-0.20,0.60,0.25,0.25,0.11,0.16
processed_data/file1_fragments/fragment22.csv,8.38,14.06,1.30,-1.35,0.11,0.46,0.44,5.52,1.98
processed_data/file1_fragments/fragment23.csv,0.07,nan,2.90,-2.90,0.98,0.02,0.02,0.44,0.63
processed_data/file1_fragments/fragment24.csv,9.72,15.86,1.70,-2.13,0.07,0.51,0.41,7.18,2.65
processed_data/file1_fragments/fragment25.csv,16.82,21.05,1.56,-1.21,0.11,0.37,0.47,9.42,1.57
processed_data/file1_fragments/fragment26.csv,0.49,nan,2.00,-1.00,0.75,0.14,0.29,0.90,1.13
processed_data/file1_fragments/fragment27.csv,1.01,10.40,3.47,-2.08,0.84,0.07,0.12,2.64,1.61
processed_data/file1_fragments/fragment28.csv,24.18,27.26,1.43,-1.51,0.05,0.47,0.44,10.13,1.85
processed_data/file1_fragments/fragment29.csv,17.33,28.02,1.40,-1.60,0.34,0.33,0.29,14.87,1.79
processed_data/file1_fragments/fragment30.csv,14.76,28.46,1.30,-1.72,0.42,0.31,0.23,15.24,1.51
processed_data/file1_fragments/fragment31.csv,14.93,28.08,1.18,-2.13,0.43,0.36,0.20,15.52,1.52
processed_data/file1_fragments/fragment32.csv,4.50,16.50,1.97,-1.67,0.54,0.22,0.27,6.52,1.79
processed_data/file1_fragments/fragment33.csv,21.55,38.00,1.19,-1.86,0.42,0.33,0.21,20.02,1.64
processed_data/file1_fragments/fragment34.csv,0.09,nan,0.20,-0.13,0.67,0.18,0.27,0.15,0.13
processed_data/file1_fragments/fragment35.csv,22.36,27.38,1.71,-2.09,0.14,0.44,0.36,12.62,2.32
processed_data/file1_fragments/fragment36.csv,0.53,nan,4.95,-2.48,0.93,0.03,0.06,2.06,1.42
processed_data/file1_fragments/fragment37.csv,1.56,nan,4.40,-2.20,0.60,0.25,0.50,2.17,3.26
processed_data/file1_fragments/fragment38.csv,9.50,14.58,3.44,-1.91,0.19,0.33,0.60,6.67,3.25
