filePath,平均速度,平均行驶速度,平均加速度,平均减速度,怠速时间比,加速时间比,减速时间比,速度标准差,加速度标准差
processed_data/file1_fragments/fragment1.csv,3.40,11.90,2.56,0.0,0.85,0.42,0.00,4.86,1.48
processed_data/file1_fragments/fragment2.csv,10.87,14.29,1.42,-2.24,0.40,0.52,0.28,4.82,1.93
processed_data/file1_fragments/fragment3.csv,24.90,36.09,1.12,-1.32,0.32,0.37,0.31,18.65,1.37
processed_data/file1_fragments/fragment4.csv,21.08,28.03,1.40,-2.35,0.26,0.50,0.29,14.27,2.16
processed_data/file1_fragments/fragment5.csv,27.08,43.11,1.12,-1.31,0.38,0.35,0.28,22.73,1.34
processed_data/file1_fragments/fragment6.csv,39.51,51.50,1.19,-1.65,0.24,0.45,0.32,25.55,1.99
processed_data/file1_fragments/fragment7.csv,23.16,36.25,1.24,-1.86,0.37,0.41,0.26,18.64,1.75
processed_data/file1_fragments/fragment8.csv,40.80,41.16,1.49,-2.33,0.01,0.59,0.36,16.33,2.28
processed_data/file1_fragments/fragment9.csv,34.64,45.27,1.51,-2.17,0.24,0.47,0.29,22.28,2.31
processed_data/file1_fragments/fragment10.csv,37.35,39.34,1.45,-2.12,0.06,0.58,0.37,18.08,2.47
processed_data/file1_fragments/fragment11.csv,30.79,42.07,1.65,-2.70,0.27,0.44,0.27,21.08,2.44
processed_data/file1_fragments/fragment12.csv,15.24,15.65,1.28,-1.87,0.06,0.62,0.38,3.19,1.95
processed_data/file1_fragments/fragment13.csv,10.69,23.23,1.58,-1.96,0.55,0.30,0.19,12.13,1.48
processed_data/file1_fragments/fragment14.csv,7.96,11.27,1.54,-2.23,0.67,0.62,0.38,3.10,2.50
processed_data/file1_fragments/fragment15.csv,23.00,40.78,5.70,-1.96,0.45,0.17,0.46,21.95,6.73
processed_data/file1_fragments/fragment16.csv,24.55,29.88,1.63,-1.84,0.21,0.52,0.42,13.32,2.20
processed_data/file1_fragments/fragment17.csv,25.93,32.93,1.26,-1.40,0.22,0.43,0.36,15.03,1.56
processed_data/file1_fragments/fragment18.csv,14.72,19.94,1.58,-1.35,0.29,0.38,0.39,8.98,1.70
processed_data/file1_fragments/fragment19.csv,6.82,14.88,2.21,-1.87,0.65,0.36,0.32,6.73,2.34
